Location,lat,lon,Notes
"Staten Island, NY, USA",40.5834557,-74.1496048,Published
"Staten Island, NY, USA",40.5834557,-74.1496048,NA
"Staten Island, NY, USA",40.5834557,-74.1496048,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Corvallis, OR, USA",44.5645659,-123.2620435,NA
"Mentor, OH, USA",41.6664781,-81.3399769,Published
"Lexington, NE, USA",40.7788486,-99.7414869,Published
"Evanston, WY, USA",41.2682462,-110.963758,NA
"Putnam Valley, NY, USA",41.3359272,-73.8740252,Published
"Los Altos, CA, USA",37.3790629,-122.116578,NA
"Reston, VA, USA",38.953282,-77.3464516,NA
"Worcester, MA, USA",42.2625621,-71.8018877,NA
"Los Alamos, NM, USA",35.88137,-106.298959,Published
"Madison, WI, USA",43.07469,-89.3841663,Published
"Madison, WI, USA",43.07469,-89.3841663,NA
"Wellesley, MA, USA",42.2964859,-71.2925571,Published
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
